#Z	A	N	Yield	Uncertainty
45	103	58	2.31E-10	8.90E-11
38	104	66	3.32E-11	1.13E-11
39	104	65	5.98E-07	2.03E-07
40	104	64	5.33E-04	1.73E-04
41	104	63	0.011546	0.0020025
41	104	63	0.011546	0.0020025
42	104	62	0.027141	0.0045999
43	104	61	0.00398	0.0016407
44	104	60	4.81E-05	1.64E-05
45	104	59	3.64E-09	1.24E-09
45	104	59	1.10E-08	3.73E-09
39	105	66	2.02E-08	7.58E-09
40	105	65	5.00E-05	1.86E-05
41	105	64	0.0086256	0.0021716
42	105	63	0.046083	0.005321
43	105	62	0.0061819	0.0046673
44	105	61	4.13E-04	1.60E-04
45	105	60	7.89E-08	2.96E-08
45	105	60	5.16E-07	1.94E-07
46	105	59	2.47E-11	9.25E-12
39	106	67	2.07E-10	7.49E-11
40	106	66	2.73E-06	9.86E-07
41	106	65	0.0011775	3.91E-04
42	106	64	0.043787	0.0054742
43	106	63	0.015194	0.0056808
44	106	62	0.0027351	0.0012268
45	106	61	4.69E-06	1.70E-06
45	106	61	1.10E-05	3.97E-06
46	106	60	3.50E-09	1.26E-09
39	107	68	1.25E-12	4.86E-13
40	107	67	5.64E-08	2.20E-08
41	107	66	1.20E-04	4.62E-05
42	107	65	0.011969	0.0028727
43	107	64	0.049229	0.005246
44	107	63	0.0047608	0.0038442
45	107	62	2.53E-04	1.02E-04
46	107	61	6.77E-08	2.64E-08
46	107	61	1.27E-07	4.96E-08
47	107	60	9.07E-13	3.54E-13
47	107	60	5.93E-12	2.31E-12
40	108	68	6.09E-10	2.25E-10
41	108	67	4.81E-06	1.78E-06
42	108	66	0.0020928	6.75E-04
43	108	65	0.047438	0.0061972
44	108	64	0.011432	0.0068305
45	108	63	4.84E-04	2.14E-04
45	108	63	0.0014598	6.45E-04
46	108	62	1.02E-05	3.76E-06
47	108	61	4.07E-10	1.50E-10
47	108	61	9.54E-10	3.52E-10
40	109	69	3.49E-12	1.30E-12
41	109	68	1.45E-07	5.40E-08
42	109	67	1.80E-04	6.58E-05
43	109	66	0.018838	0.0035656
44	109	65	0.036928	0.0050806
45	109	64	0.0036569	0.0031726
46	109	63	4.48E-05	1.69E-05
46	109	63	8.43E-05	3.19E-05
47	109	62	1.20E-08	4.48E-09
47	109	62	7.85E-08	2.93E-08
48	109	61	1.94E-12	7.24E-13
41	110	69	9.85E-10	4.56E-10
42	110	68	7.33E-06	3.39E-06
43	110	67	0.002014	7.69E-04
44	110	66	0.047808	0.0061711
45	110	65	1.22E-05	1.44E-04
45	110	65	4.58E-04	0.0054041
46	110	64	0.0011127	5.97E-04
47	110	63	1.01E-06	4.67E-07
47	110	63	2.36E-06	1.09E-06
48	110	62	4.01E-10	1.86E-10
41	111	70	9.59E-12	3.24E-12
42	111	69	2.42E-07	8.18E-08
43	111	68	2.95E-04	9.70E-05
44	111	67	0.018159	0.0032553
45	111	66	0.028174	0.0042091
46	111	65	0.0016364	7.13E-04
46	111	65	0.0030754	0.0013399
47	111	64	1.14E-05	3.86E-06
47	111	64	7.43E-05	2.52E-05
48	111	63	9.03E-09	3.05E-09
48	111	63	2.95E-08	9.99E-09
42	112	70	5.73E-09	2.09E-09
43	112	69	2.05E-05	7.47E-06
44	112	68	0.004742	0.0012814
45	112	67	0.019033	0.002267
45	112	67	0.019033	0.002267
46	112	66	0.0072681	0.0042319
47	112	65	6.21E-04	2.33E-04
48	112	64	1.21E-06	4.43E-07
49	112	63	1.58E-11	5.76E-12
49	112	63	6.64E-11	2.42E-11
42	113	71	8.82E-11	3.03E-11
43	113	70	1.39E-06	4.77E-07
44	113	69	3.47E-04	1.12E-04
44	113	69	3.47E-04	1.12E-04
45	113	68	0.026878	0.0039384
46	113	67	0.0045382	0.0012032
46	113	67	0.010956	0.0029047
47	113	66	3.92E-04	1.43E-04
47	113	66	0.002566	9.34E-04
48	113	65	4.34E-06	1.49E-06
48	113	65	1.42E-05	4.88E-06
49	113	64	8.23E-10	2.83E-10
